Lateinisches Wort,Formen,Übersetzung,Zahl
arcessere,"arcesso, arcessivi, arcessitum","herbeirufen, holen, holen lassen",21
arcanus,"-a, -um","geheim, geheimnisvoll, heimlich",42
arbor,arboris f,der Baum,16
arbitrari,"arbitror, arbitratus sum","glauben, meinen",32
arbiter,-tri m,"der Schiedsrichter, der Gebieter",41
ara,-ae f,der Altar,7
apud,(m.Akk.),bei,22
aptus,"-a, -um","passend, geeignet",37
appropinquare,-,"sich nähern, näher kommen",33
appellare,-,"anreden, ansprechen, benennen",27
apparere,-,"erscheinen, sich zeigen",12
apparare,-,"vorbereiten, betreiben",34
antea,-,"vorher, früher",14
ante,(m.Akk.),vor,7
ante,(Adv.),vorher,38
annus,-i m,das Jahr,11
animus,-i m,"das Herz, das Gemüt, der Mut, der Geist, die Seele",5
animal,animalis n,"das Lebewesen, das Tier",21
an,-,"(im Fragesatz) oder, (im indirekten Fragesatz) ob",42
an,-,"(im Fragesatz) oder, (im indirekten Fragesatz) ob",19
amplus,"-a, -um","weit, geräumig, bedeutend",25
amor,amoris m,die Liebe,22
amicus,-i m,der Freund,1
amicitiam facere,-,Freundschaft schließen,25
amicitia,-ae f,die Freundschaft,4
amica,-ae f,die Freundin,1
ambitiosus,"-a, -um",ehrgeizig,42
ambitiosus,"-a, -um",ehrgeizig,41
ambitiosus,"-a, -um",ehrgeizig,40
amare,-,"lieben, (gerne) mögen",20
altus,"-a, -um","hoch, tief",38
alter… alter…,-,"der eine …,  der andere",30
alter… alter…,-,"der eine…, der andere",29
alter… alter…,-,"der eine…, der andere",28
alter… alter…,-,"der eine…, der andere",27
alter,"altera, alterum Gen.alterius, Dat.alteri","ein anderer, der zweite",30
alter,"altera, alterum, Gen.alterius, Dat.alteri","ein anderer, der zweite",29
alter,"altera, alterum, Gen. alterius, Dat., alteri","ein anderer, der zweite",28
alter,"altera, alterum, Gen.alterius, Dat.alteri","ein anderer, der zweite",27
alius,"alia, aliud, Gen.alterius, Dat. alteri",ein anderer,33
aliquis,"aliquid (subst., Formen T3.6.1)","irgendjemand, irgendetwas",35
aliqui,"aliqua, aliquod (adj., Formen T3.6.1)","irgendein, irgendeine, irgendein",35
aliquando,-,"einst, (irgendwann) einmal",11
alienus,"-a, -um",fremd,15
alere,"alo, alui, al(i)tum","aufziehen, ernähren",30
agmen,agminis n,"der Heereszug, die Schar",29
agitare,-,"treiben, in Bewegung setzen, antreiben",26
vitam agere,-,sein Leben verbringen,12
tempus agere,-,seine Zeit verbringen,12
gratias agere,-,danken,12
fabulam agere,-,ein Schauspiel aufführen,12
bene agere (cum),-,gut auskommen (mit),12
agere (de)(cum),-,verhandeln (über)(mit),12
agere,"ago, egi, actum","tun, handeln, verhandeln, treiben",23
agere,"ago, egi, actum","tun, handeln, verhandeln, treiben",14
agere,"ago, egi, actum","tun, handeln, verhandeln, treiben",12
ager,agri m,"der Acker, das Feld Pl. das land",8
afficere,"afficio, affeci, affectum",versehen mit,32
aeternus,"-a, -um",ewig,33
aeternus,"-a, -um",ewig,32
aeternus,"-a, -um",ewig,31
aetas,aetatis f,"das Lebensalter, das Zeitalter, die Zeit",27
aestimare,-,"schätzen, einschätzen, meinen, halten für",40
aestas,aestatis f,"der Sommer, die Hitze",22
aequitas,aequitatis f,"die Gleichheit, die Ausgeglichenheit",36
aequitas,aequitatis f,"die Gleichheit, die Ausgeglichenheit",35
aequitas,aequitatis f,"die Gleichheit, die Ausgeglichenheit",34
aedibus recipere,-,in sein Haus aufnehmen,25
aedis,aedis f,der Tempel Pl. das Haus,24
aedificare,- ,"bauen, erbauen",9
adversus,(m.Akk.),gegen,41
adventus,adventus m,die Ankunft,28
adulescens,"adulescentis m, Gen.Pl. adulescentium","der Jugendliche, der junge Mann",27
adoriri,"adorior, adortus sum",angreifen,34
admonere,-,"erinnern, ermahnen, auffordern (m. ut)",42
admittere,"admitto, admisi, admissum",zulassen,23
admittere,"admitto, admisi, admissum",zulassen,22
admiratio,admirationis f,"die Bewunderung, das Staunen",29
adhuc,-,"bis jetzt, immer noch",20
adhortari,"adhortor, adhortatus sum","anfeuern, antreiben",41
adhibere,- ,"anwenden, hinzuziehen",9
adesse,"adsum, affui, - (m.Dat.)","da sein, helfen",12
adesse,"adsum, affui, - (m.Dat.)","da sein, helfen",4
adducere,"adduco, adduxi, adductum","heranführen, veranlassen",25
addere,"addo, addidi, additum",hinzufügen,28
a/ab,(m. Abl.),"von, von … her, von … weg",7
abdūcere,"abdūcō, abdūxī, abdūctum","wegführen, entführen, verschleppen",24
abīre,"abeō, abiī, abitum","weggehen, abtreten, zurücktreten (von)",36
abundāre,(m. Abl.),"übervoll sein (von), Überfluss haben (an)",6
accēdere,"accēdō, accessī, accessum","herbeikommen, herantreten, sich nähern",3
accēdere,"accēdō, accessī, accessum","herbeikommen, herantreten, sich nähern",16
accēdere,"accēdō, accessī, accessum","herbeikommen, herantreten, sich nähern",24
accidere,"accidit, accipit","geschehen, sich ereignen; zustoßen",16
accipere,"accipiō, accēpī, acceptum","annehmen, empfangen, erhalten; vernehmen",10
accipere,"accipiō, accēpī, acceptum","annehmen, empfangen, erhalten; vernehmen",19
accipere,"accipiō, accēpī, acceptum","annehmen, empfangen, erhalten; vernehmen",23
accūsāre,-,"anklagen, beschuldigen",12
acer,"acris, acre","scharf, heftig",10
actio,actionis f,"die Tätigkeit, die Handlung, (die Gerichts-)Verhandlung",14
ad,(m. Akk.),"zu (… hin), bei, an; nach",7
