Lateinisches Wort,Formen,Übersetzung,Zahl
pars,partis f,"der Teil, die Richtung",31
parere,"pario, peperi, partum","zur Welt bringen, erzeugen, erwerben",24
parere,-,"gehorchen, folgen",1
parentes,parent(i)um m(Pl.),die Eltern,4
parcere,"parco, peperci, - (m.Dat.)","schonen, sparen",25
parare,-,"breiten, vorbereiten, erwerben, (m.Inf.) vorhaben (zu tun)",11
par,Gen. paris,"gleich, ebenbürtig",23
paenula,-ae f,der Reisemantel,34
paene,-,"beinahe, fast",26
otio se dare,-,seine Freizeit genießen,16
otium agere,-,seine Freizeit verbringen,16
otium,-i n,"die Freizeit, die Ruhe, die Muße",13
ostendere,"ostendo, ostendi, -","zeigen, erklären, offenbaren",18
ostendere,"ostendo, ostendi, -","zeigen, erklären, offenbaren",9
osculum,-i n,der Kuss,39
ornare,-,"schmücken, auszeichnen, ausstatten",17
oriri,"orior, ortus sum","geboren werden, entstehen, beginnen, aufgehen",32
ordo,ordinis m,"die Ordnung, die Reihe, der (gesellschaftliche) Stand",41
ordiri,"ordioe, orsus sum","beginnen, anfangen",38
orbis terrarum,-,der Erdkreis,23
orbis,orbis m,"der Kreis, die Scheibe",23
orator,oratoris m,der Redner,3
orationem habere,-,eine Rede halten,14
oratio,orationis f,die Rede,11
orare,-,"beten (zu), bitten",7
mihi cibis opus est,-,ich brauche Essen,21
mihi cenare opus est,-,für mich ist es nötig zu essen,21
opus est,-,"(m.dat.) es ist nötig (für jdn.), (m.Abl.) jd. braucht, benötigt (etwas)",21
optare,-,wünschen,27
ops,opis f,"die Hilfe, die Kraft, Pl. der Reichtum, die Macht",38
oppugnare,-,angreifen,30
opprimere,"opprimo, oppressi, oppressum","überfallen, überwältigen, niederwerfen, unterdrücken",28
oppidum,-i n,"die Stadt, die Befestigung",20
oportet,oportuit,"es gehört sich, man muss",17
omnia,-ium n(Pl.),alles,10
omnis,omne,"jeder, all, ganz",10
omnino,-,"insgesamt, überhaupt, völlig",18
officium,-i n,"der Dienst, die Pflicht",37
se morti offere,-,sich in Lebensgefahr bringen,36
offerre,"offero, obtuli, oblatum",anbieten,33
odisse,odi,hassen,42
odisse,odi,hassen,41
odisse,odi,hassen,40
oculus flectere,-,die Augen wenden,22
oculus,-i,das Auge,5
occurrere,"occurro, occurri, occursum","entgegenlaufen, entgegentreten, begegnen",25
occupare,-,"einnehmen, in Besitz nehmen, beschäftigen",41
occidere,"occido, occidi, occisum","niederschlagen, töten",24
obtinere,"obtineo, obtinui, obtentum","innehaben, im Besitz haben, besetzt halten",27
obsides imperare,-,Geiseln (zu stellen) befehlen/ die Stellung von Geiseln befehlen,29
obses,obsidis m/f,die Geisel,29
(mortem) obire,-,sterben,29
obire,"obeo, obii, obitum (m.Akk.)","entgegengehen, begegnen",29
quam ob rem,-,deswegen,28
ob,-,(m.Akk.) wegen,28
nympha,-ae f,die Nymphe,39
nuper,-,neulich,20
nunc,-,"nun, jetzt",2
numquam,-,niemals,9
numerus,-i m,"die Zahl, die Anzahl",27
numerare,-,"zählen, aufzählen",39
numerare,-,"zählen, aufzählen",38
numerare,-,"zählen, aufzählen",37
numen,numinis n,"die Gottheit, der göttliche Wille, die göttliche Macht",32
num?,-,etwa?,19
nullus,"-a, -um gen.  nullus, Dat. nulli",kein,34
nudus,"-a, -um","nackt, bloß",15
nubere,"nubo, nupsi, nuptum (m.Dat.)",(einen Mann) heiraten,17
nox,noctis f,die Nacht,10
novus,"-a, -um","neu, neuartig",16
novisse,novi,"kennen, wissen",37
novem,-,neun,23
notus,"-a, -um",bekannt,36
notus,"-a, -um",bekannt,35
notus,"-a, -um",bekannnt,34
noster,"nostra, nostrum",unser,16
noscere,"nosco, novi, notum","erkennen, kennelernen",37
